date;station_uuid;diesel;e5;e10;dieselchange;e5change;e10change
2022-09-08 19:01:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.909;1.849;1;1;1
2022-09-08 20:16:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.149;1.899;1.839;1;1;1
2022-09-08 20:42:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.139;1.879;1.819;1;1;1
2022-09-09 05:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;2.159;2.099;1;1;1
2022-09-09 07:45:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.899;1.839;1;1;1
2022-09-09 09:11:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.949;1.889;1;1;1
2022-09-09 11:09:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.929;1.869;0;1;1
2022-09-09 11:23:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.879;1.819;1;1;1
2022-09-09 11:30:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;1;0;0
2022-09-09 11:39:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.879;1.819;1;0;0
2022-09-09 11:51:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.869;1.809;0;1;1
2022-09-09 12:02:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.919;1.859;1;1;1
2022-09-09 12:11:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;1;1;1
2022-09-09 14:05:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.899;1.839;1;1;1
2022-09-09 14:23:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.879;1.819;0;1;1
2022-09-09 14:29:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.869;1.809;1;1;1
2022-09-09 14:37:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.149;1.859;1.799;1;1;1
2022-09-09 15:07:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.899;1.839;1;1;1
2022-09-09 16:27:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.149;1.859;1.799;1;1;1
2022-09-09 17:08:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;1;1;1
2022-09-09 18:12:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.149;1.859;1.799;1;1;1
2022-09-09 18:38:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.139;1.849;1.789;1;1;1
2022-09-09 19:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;1;1;1
2022-09-09 20:16:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.869;1.809;0;1;1
2022-09-09 20:29:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.869;1.809;1;0;0
2022-09-09 20:37:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.139;1.849;1.789;1;1;1
2022-09-10 05:02:13;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;2.149;2.089;1;1;1
2022-09-10 07:45:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.909;1.849;0;1;1
2022-09-10 09:03:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.959;1.899;1;1;1
2022-09-10 09:38:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.959;1.899;1;0;0
